,歌詞
0,ひらりと翻したの風の吹くまま思惑、するり逃れてニヒルに駆けるキラリとこぼれ落ちた涙と思い出をさっと拭って見せてあなたが蜃気楼に見えたのあなたは蜃気楼無邪気に笑ってみせてあなたは蜃気楼僕を振り回して“鏡の前のお前は一体誰？最早その顔、別人だぜ無駄な荷物を捨て去って過去、嘲笑って生きることは大変で歩いてりゃ誰か失ってそれでも誰かのため生きたいって(偽善か？)視線は関係ないぜわかったように見えてる世界は錯覚だらけ”あなたが蜃気楼に見えたのあなたは蜃気楼無邪気に笑ってみせてあなたは蜃気楼僕を振り回して
0,ダンスなんて上手く踊れないけれど今だけは踊りたい気分イケてるステップなんて刻めないけれど誰も見ちゃいないし気にしないで皆寝ちゃったよ今夜、世界は僕らのもの明日の事なんてわからないけれど人生は止まらないし夏の終わりの熱帯夜に二人夜に眩しいほどに煌めいて皆寝ちゃったよ今夜、世界は僕らのもの君の世界に僕も生きられるならそれは素敵な事でしょう？(子供みたいに戯れあってさ)大人になんてなりそびれたままでいいの勝手に世界が回っても(それもいい、いっそ君だけでいい)息を潜めろ街が寝静まるまでShining Shining Shining Shining恐れずにこの夜に飛び込むのShining Shining Shining Shining君の世界に僕も生きられるならそれは素敵な事でしょう？(子供みたいに戯れあってさ)大人になんてなりそびれたままでいいの勝手に世界が回っても(それもいい、いっそ君だけでいい)
0,幸せの対価に、どれ程の価値が要るかなんて知る由もない、知りたくも無い確かなものに手を伸ばしたい自分の替えなどいくらでもいるんだ自惚れんなよ世界はそんなもんだって生きてりゃわかるさガムシャラに命を燃やし続けてデタラメに刃を振り回したオーバーフローしているんだ日々に雁字搦めなんだ臆病風になびいてしまう前に愛を探しに行くんだ君に逢いに行かなくちゃあと一度だけでいい初めからやり直せるはずさみっともないって呆れてくれよ惨めだねって罵ってくれよ見捨てずにまた遊んでくれよ昔みたいに笑ってくれよ夢ばかりを見てたいわけじゃない如何しようも無い今を愛していたいなんて戯言を言っていたいどうにもこうにもうまくいかない脳味噌オフ ⇒ 事故 ⇒ 向かう泥仕合こんな時ほど素直になりたいよなガムシャラに命を燃やし続けてデタラメに刃を振り回した困った事になったな君に雁字搦めなんだ未だ平静装い鼻歌交じりで愛を探しに行くんだ君に逢いに行かなくちゃもう一度だけでいい初めからやり直せるはずさオーバーフローしているんだ大切なものなんて数える程しかないの愛を探しに行くんだ気づかぬうちに欲張りすぎてしまったオーバーフローしているんだ日々に雁字搦めなんだ臆病風になびいてしまう前に愛を探しに行くんだ君に逢いに行かなくちゃあと一度だけでいい初めからやり直せるはずさ困った事になったな君に雁字搦めなんだ未だ平静装い鼻歌交じりで愛を探しに行くんだ君に逢いに行かなくちゃもう一度だけでいい初めからやり直せるはずさみっともないって呆れてくれよ惨めだねって罵ってくれよ見捨てずにまた遊んでくれよ昔みたいに笑ってくれよ
0,さよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいない3回目のアラームでようやく起き上がれそうな朝眠い目を擦りながら顔を洗ってコーヒーを流し込め運命なんてハナから信じきれやしないよな深読みのし過ぎばかりじゃ満たされやしなくてもっと話したいんだもっと近づきたいんだ遠くで眺めていたく無いよなどんな時だってさよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいないガラス片を避けながら直行直帰寝落ちる毎日さ満員電車に息を潜め鳴り響いたベルが発車の合図さ繋いだ手確かめた確かに僕ら此処に居たのさ寄せては返す波の中を必死に立っていたんだゴールなんか有りはしないよなただのレースとは違うよな巷に流れるラヴ・ソングの様にはいかないねさよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいないんだ結局は愛がどうとかわからないよ未だにそう言い放った自分の頼りない背中を見たさよならハイになったふりしたって心模様は土砂降りだよ傘も持たずにどこへ行くの？あれこれ不安になったってどうしようもない“運命でしょ？”曇りガラス越しのあなたにはもう何も届いちゃいないんだ
0,私は泣いたことがない灯りの消えた街角で速い車にのっけられても急にスピンかけられても恐くなかった赤いスカーフがゆれるのを　不思議な気持で見てたけど私　泣いたりするのは違うと感じてた私は泣いたことがないつめたい夜の真ん中でいろんな人とすれ違ったり投げKissうけとめたり投げ返したりそして友達が変わるたび　想い出ばかりがふえたけど私　泣いたりするのは違うと感じてた飾りじゃないのよ涙は HAHAN好きだと言ってるじゃないの HO HO真珠じゃないのよ涙は HAHANきれいなだけならいいけどちょっと悲しすぎるのよ涙は HOHOHOHOHOHO…HUHUHU……WA！！私は泣いたことがない本当の恋をしていない誰の前でもひとりきりでも瞳の奥の涙は隠していたからいつか恋人に会える時私の世界が変わる時私　泣いたりするんじゃないかと感じてるきっと　泣いたりするんじゃないかと感じてる飾りじゃないのよ涙は HAHAN好きだと言ってるじゃないの HO HO真珠じゃないのよ涙は HAHANきれいなだけならいいけどちょっと悲しすぎるのよ涙は飾りじゃないのよ涙は HAHAN輝くだけならいいけど HO HOダイヤと違うの涙は HAHANさみしいだけならいいけどちょっと悲しすぎるのよ涙はLa La La……
0,"背後の雨は昨日の2人を、青く深く染め上げてゆく。最後の手触りは、心の痛みに深く潜ってゆく“Dance dance, anyways, it'll work.”she says.さっきまで窓に映った貴女は梅雨の中へと溶けて消えてゆく“さあ、お乱れ、最後の夜だろ？”ありのままに踊り狂ってゆく“Dance dance, anyways, it'll work.”she says."
0,晴れた空、公園のベンチで1人誰かを想ったりする日もある世界がいつもより穏やかに見える日は自分の心模様を見ているのだろう吐き出せばいいよ取り乱せばいいよ些細な拍子に踏み外してしまう前に愛を守らなくちゃあなたを守らなくちゃ消えそうな心の声を聞かせてぽっかりと空いたその穴を僕に隠さないで見せておくれよあなたの正体をあなたの存在をそっと包み込むように僕が傷口になるよ気づけば誰かの物差しで人と比べた未来に傷ついて身体にぽっかりと空いたその穴を埋めてあげることが出来たのなら逃げ出せばいいよ全てを放り出せばいいよ些細な拍子に壊れてしまう前に愛を守らなくちゃあなたを守らなくちゃ消えそうな心の声を聞かせてぽっかりと空いたその穴を僕に隠さないで見せておくれよ傷には包帯を好き勝手放題の世界から遠ざけるように僕が傷口になるよ愛する誰かが自殺志願者に僕らはそのくらい脆く不確かで愛を守らなくちゃあなたを守らなくちゃ世界の片隅に灯るかすかな光を掻き集めてこの世界の希望も絶望も全て飛沫をあげてあなたに降り注ぐのならあなたの正体をあなたの存在をそっと庇うように僕が傷口になるよ
0,"TVステーションでは今日も騒ぎ立てているコメンテーター耳障りで狂言めいた遠い世界の話ばかりだな正義もヘッタクレもない悪事も結託すりゃバレないな甘い蜜だけを吸っていたい薄っぺらいピエロはあっちへ行きな“Wake up people in Tokyo Daydream”Open your eyes, open eyes wide.目を覚ませ、目を凝らせRock'n roller sing only ‘bout love and life.所詮ロックンローラーは愛と人生しか歌えないんだ“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせIt could be the start of something new tonight.今夜、真っ新から始めようド派手に着飾ればセンセーション中身二の次TVステーションすっからかんなセレブレーション素っ裸で今夜のシュミレーション“正直者は馬鹿をみる”ディスるだけのアンチヒーローを射る私腹を肥やす足長親父子供を騙してはメイクマニー“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせRock'n roller sing only ‘bout love and life.所詮ロックンローラーは愛と人生しか歌えないんだ“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせIt could be the start of something new tonight.今夜、真っ新から始めよう擦れて溶けたビロードからは露わ傷を披露けれど血は出ぬ我が身中身が空っぽの強み、伴う痛み来た道振り返り生まれる弱み寄せては返す人の波それでも繰り返す日々の営み擦れて溶けたビロード見事に露わ傷を披露けれど血は出ぬ我が身中身が空っぽのお詫びのらりくらり都会暮らし“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせRock'n roller sing only ‘bout love and life.所詮ロックンローラーは愛と人生しか歌えないんだ“Wake up people in Tokyo Daydream.”Open your eyes, open eyes wide.目を覚ませ、目を凝らせIt could be the start of something new tonight.今夜、真っ新から始めよう"
0,"優しい嘘をついてくれよ現実は残酷だもの酔いどれ踊れ全てを忘れるまで強がり笑うだけ“Why don't you come back to me？”避けようのない痛みを二人分け合えるよ“cause I know you're lonely like me.”こびり付いた悲しみを拭い去れるの？流離え友よ生まれては死ぬだけの輪廻の中を終わりのない旅路を進め　夜が明けるまで奥歯を食いしばって“Why don't you come back to me？”ささやかな喜びを二人分け合えるよ“cause I know you're lonely like me.”この溢れ出す思いを伝えに行くよeverytime,I feel as one.sometime,We feel as one.ささやかな人生を愛せるのならばeverytime,I feel as one.sometime,We feel as one.信じていたもの全てを手放したっていいんだ“You always stay in my mind.”“I want you stay in your mind.”“Why don't you come back to me？”この素晴らしき世界を二人分けあえるよ“cause I know you're lonely like me.”この胸の悲しみと共に生きてゆくよ"
0,叶いやしない願いばかりが積もっていく大人になったんだなピアノの音でさえ胸に染みるぜ君はすっかり変わってしまったけど俺はまだここにずっといるんだ汚れた部屋だけを残してちっぽけな夢に囚われたままで売り払う魂も残っちゃいないけど君のすべては俺のすべてさなんて言葉は過去のもの今ならこの身さえ差し出すよ何も知らなかった自分を羨ましく思うかい？君を失望させてまで欲しがったのは何故何もかもを手に入れたつもりでいたけどもう十分でしょうもう終わりにしよう目に見えるものなんて世界のほんの一部でしかないんだ今ならそう思えるよ本当に泣きたい時に限って誰も気づいちゃくれないよな人知れず涙を流す日もある履きなれた靴で出かけよう靴音を高らかに響かせながら決して足跡を消さないでいつでも辿れば君の元に帰れるようにそばにいて欲しいんだ、どんな未来でも譲れぬものだけを胸に歩いていくんだ自分の身の丈を知り、それでも背けずに見つめられるかい？骨までずぶ濡れの明日さえも信じられるかい？最終列車はもう行ってしまったけれどこの真夜中を一緒に歩いてくれるかい？何時間かかってもいいんだゆっくりでいいこの足跡を辿って確かな足取りで帰ろうよ何も知らなかった自分を羨ましく思うかい？君を失望させてまで欲しがったのは何故何もかもを手に入れたつもりでいたけどもう十分でしょうもう終わりにしようかそばにいて欲しいんだ、どんな未来でも譲れぬものだけを胸に歩いていくんだ自分の身の丈を知り、それでも背けずに見つめられるかい？骨までずぶ濡れの明日さえも信じられるかい？叶いやしない願いばかりが積もっていく大人になったんだなピアノの音でさえ胸に染みるぜ君はすっかり変わってしまったけど俺はまだここにずっといるんだ汚れた部屋だけを残して
0,ずっと夢を見ていたいのに決まった時間に今日も叩き起こされるんだ大きな欠伸くらい許してよ酸素が足りずに今日も産声をあげているんだ小さな惑星のいつもの街角の何気ない陽だまりの中で凍った愛が静かに溶け出したんだ街から仄かに春の匂いがした結局何処へも行けやしない僕らは冬の風に思わずくしゃみをした終わらない歌を歌っているんだ意味のない日々に何を恐れてるのか鳥たちは無心で飛んでゆくただただ空の青に魅せられてしまったのか同じ夢を見たんだ在り来たりな夢だったとあなたがふっと笑うから凍った愛がみるみる溶け出したんだ心の奥底に春の風が吹いた次第に綻びボロが出てきたとしてまあそれも別にいいかとくしゃみをして笑い合うのさずっと夢を見ていたいのに決まった時間に今日も叩き起こされるんだ大きな欠伸くらい許してよ酸素が足りずに今日も産声をあげているんだ
0,他の誰かになんてなれやしないよそんなのわかってるんだ明日を信じてみたいの微かな自分を愛せなかったとしてもTeenager Forever望んだこと全てが叶う訳はないよそんなのわかってるんだ深い傷もいずれは瘡蓋に変わって剥がれ落ちるだろうかいつまでも相変わらずつまらない話をつまらない中にどこまでも幸せを探すよ伝えたい想いは溢れているのに伝え方がわからなくて今でも言葉を探しているんだ遠く散っていった夢の欠片にめくるめく貴方の煌めきに気づけたらいいんだTeenager Forever結局のところ誰も教えちゃくれないんだ進むべき道なんて等身大のままで生きていこうぜ歳を重ねてもいつまでも相変わらずつまらない話をつまらない中にどこまでも幸せを探すよ煌めきを探せよ散々振り回して、振り回されて大事なのはあなただってことに気づけないままで一体未来はどうなるのかなんて事よりめくるめく今という煌めきに気づけたらいいんだTeenager Forever他の誰かになんてなれやしないよそんなのわかってるんだ明日を信じてみたいの微かな自分を愛せなかったとしても
0,走り出す山手に飛び乗ってぐるぐる回ってりゃ目は回る隣のあんた顔も知らねえ溢れかえる人で前も見えねえんだトーキョーこの身一つを投げ出してキザなセリフを投げ売って触れてみたいの見てみたいのトーキョー皆どこかを目指してひた走るこの身守るためにゃツバを飲めってな具合だよそんな状況繰り返される日常の狭間で勝った、負けた、離れて、くっついた。すったもんだラチはあかねえな耳塞いで、目を瞑ったなら突っ走れよ、混沌的東京この身一つを投げ出してキザなセリフを投げ売って触れてみたいの見てみたいの夜に紛れてあなたの元へ遊びに行くよ眠れないこの街の無意味な空騒ぎにはうんざりさトーキョー君とトーキョーランデブー満員電車に飛び乗ってぐるぐる回ってりゃ目は回る君とトーキョーランデブー皆どこかを目指してひた走るこの身守るためにゃツバを飲めこの身一つを投げ出してキザなセリフを投げ売って触れてみたいの　見てみたいのあなた塗れでどこまででも飛んでいけそうさ彷徨う事で自分自身を失ってしまっても夜に紛れてあなたの元へ遊びに行くよ眠れないこの―街の無意味な空騒ぎにはうんざりさトーキョー
0,いつだって期限付きなんだ何処までも蚊帳の外なんだ血走って噛み付いた味方は何処にいるんだ？今日だって傷を舐めあって面の皮取り繕って居場所を守ってるんだあなたの事を待ってるんだ白黒で単純に割り切れやしないよ人はいつだって曖昧な生き物でしょう僕ら何を大事に握りしめ切れているんだろうか人生にガードレールは無いよな手元が狂ったらコースアウト真っ逆さま落ちていったらすぐにバケモノ扱いだ其処を退け、其処を退け今じゃ正義か悪かそれどころじゃないんだいつだって期限付きなんだ何処までも蚊帳の外なんだ血走って噛み付いた味方は何処にいるんだ？今日だって傷を舐めあって面の皮取り繕って居場所を守ってるんだあなたの事を待ってるんだ散らかった部屋に押し潰されそうだ人はいつだって臆病な生き物でしょう締め切った窓は呼吸を重くしてしまっているんだろうか大都会の他愛もない大恋愛高く飛びたきゃ膝を曲げるんだしゃがまなきゃ飛べやしないなひとりぼっち　孤独渦巻いたここから抜け出さなきゃ自分を好きになりたいんだ明日を信じてみませんかなんて綺麗事を並べたって無情に回り続ける社会無駄なもんは切り捨てられるんだ大義名分のお通りだこの通り不条理まかり通り知らずのうち葬られようが後には引けやしないんだ駅前を流れる人々を眺めてる大都会他愛のない会話さえやけに煩わしくてここはどこ、私は誰継ぎ接ぎだらけの記憶の影煌めく宴とは無関係な日常へ吸い込まれ、おやすみいつだって期限付きなんだ何処までも蚊帳の外なんだ血走って噛み付いた味方は何処にいるんだ？今日だって傷を舐めあって面の皮取り繕って居場所を守ってるんだあなたの事を待ってるんだ明日を信じてみませんかなんて綺麗事を並べたって無情に回り続ける社会無駄なもんは切り捨てられるんだ大義名分のお通りだこの通り不条理まかり通り知らずのうち葬られようが後には引けやしないんだ
0,Lonely Lonely Lonely泣かないで愛しい人よこの街が僕らを孤独にするのならCalling Calling Calling君と夢を見ていたいんだよこの風に身を委ねて踊ればいい憂鬱が空を覆い尽くしたって終わりの見えない土砂降りだって未来を愛していられるあなたとなら季節が巡り始める時計の針を進めてHoly Holy Holy君の夢を見たのさその中身はほとんど忘れちゃったけれど春の風　夏の匂い　木々の色めきそして今年もまた雪が舞うそんな日々を好きになれるあなたとなら季節が巡り始める時計の針を進めてLonely Lonely Lonely泣かないで愛しい人よ変わりゆく季節を一緒に踊らないかい？
0,指輪を投げて！遥か遠くへ“夢の中へ飛び込んで”きらめくネオンが溶けて、NIGHT POOL“夢の中へ飛び込んで”雨降る街よ全てを飲み込んでみせてただの日常を抜け出してみたいの
0,時には誰かを知らず知らずのうちに傷つけてしまったり失ったりして初めて犯した罪を知る戻れないよ、昔のようには煌めいて見えたとしても明日へと歩き出さなきゃ雪が降り頻ろうとも今の僕には何ができるの？何になれるの？誰かのために生きるなら正しいことばかり言ってらんないよなどこかの街でまた出逢えたら僕の名前を覚えていますか？その頃にはきっと春風が吹くだろう真っ新に生まれ変わって人生一から始めようがへばりついて離れない地続きの今を歩いているんだ真っ白に全てさよなら降りしきる雪よ全てを包み込んでくれ今日だけは全てを隠してくれもう戻れないよ、昔のようには羨んでしまったとしても明日へと歩き出さなきゃ雪が降り頻ろうともいつものように笑ってたんだ分かり合えると思ってたんだ曖昧なサインを見落として途方のない間違い探し季節を越えてまた出逢えたら君の名前を呼んでもいいかなその頃にはきっと春風が吹くだろう真っ新に生まれ変わって人生一から始めようが首の皮一枚繋がった如何しようも無い今を生きていくんだ真っ白に全てさよなら降りしきる雪よ今だけはこの心を凍らせてくれ全てを忘れさせてくれよ朝目覚めたらどっかの誰かになってやしないかななれやしないよな聞き流してくれ忙しない日常の中で歳だけを重ねたその向こう側に待ち受けるのは天国か地獄かいつだって人は鈍感だものわかりゃしないんだ肚の中それでも愛し愛され生きて行くのが定めと知って後悔ばかりの人生だ取り返しのつかない過ちの一つや二つくらい誰にでもあるよなそんなんもんだろううんざりするよ真っ新に生まれ変わって人生一から始めようがへばりついて離れない地続きの今を歩いて行くんだ真っ白に全てさようなら降りしきる雪よ全てを包み込んでくれ今日だけは全てを隠してくれ
0,もう精一杯だろ身体に満ちた涙溢れ出すよとめどなく小さな綻びからするりするりと滲んでるよそのうち朝日は昇り全ては幻、ただの夢だってそんなもの。真面目すぎるのよ独りぼっちのふりをしてさすべては幻いつでも強がってないでさ光だけをみつめていてめくるめく逃避行の旅へと貴女連れ出すから目に映る全てが悲しく笑うなら目を瞑ればいいすべては幻いつまでも篭もってないでさ暗闇に惑わされないでいて微かな光を辿ってさ生きるんだいつでも強がってないでさ光だけをみつめていてめくるめく逃避行の旅へとすべては幻すべて幻さ奴らのまやかしから連れ出すから目に映る全てが悲しく笑うなら目を瞑ればいいいっそ幻の中へと逃げ込めばいい
0,どんな夢を見に行こうか正しさばかりに恐れ戦かないで自由自在に飛び回ってステップ・バイ・ステップビートを刻んで果ての無いパーティーを続けようかこの時代に飛び乗って今夜この街を飛び立って大空を飛び回って命揺らせ　命揺らせこの風に飛び乗って今夜台風の目となって大空を飛び回って命揺らせ　命揺らせ代わり映えしない日常の片隅で無邪気に笑っていられたらいいよな無意味な旅を続けようかワン・バイ・ワン一歩ずつでいいさ歓声も罵声も呑み込んでこの時代に飛び乗って今夜愚かな杭となって過ちを恐れないで命揺らせ　命揺らせこの風に飛び乗って今夜名も無き風となって清濁を併せ呑んで命揺らせ　命揺らせ大雨降らせ大地震わせ過去を祝え明日を担え命揺らせ命揺らせこの時代に飛び乗って今夜この街を飛び立って大空を飛び回って命揺らせ　命揺らせこの風に飛び乗って今夜台風の目となって大空を飛び回って命揺らせ　命揺らせ貴女の期待に飛び乗って今夜この羽根で飛びたくてこの大空を飛びたくて命生まれ　命生まれこの風に飛び乗って今夜名も無き風となって清濁を併せ呑んで命揺らせ　命揺らせ
0,吹き抜けてるはずの未来は？子供の頃に見た夢は？いつの間にこんなにも曇って見えるんだろう東京航海行き交う誰もが皆人知れず重荷を背負ってそれでも前を向いて歩いているのでしょう今なら僕ら目を瞑っていたって未来へ駆けてゆけるのぼやけた視界を擦ってあなたの心の奥底を狙って弾を撃て何気の無い会話や仕草の温もりに気づかないままで世界が終わりかのように息巻いてさ東京交差点仮面の下には皆別の顔が隠れているのでしょうでももう怖がらなくていいんだよ笑顔の仮面を取れ行ったり来たり繰り返して僕ら喜びも悲しみも全部あなたと笑いあえるのならばそれ以上他に何も望まないの今なら僕ら目を瞑っていたって未来へ駆けてゆけるのぼやけた視界を擦ってあなたの心の奥底を狙って弾を撃て一体全体何を信じて歩けばいいの？何にすがりつけばいいの？時の流れは酷く残酷で未来なんていつだって不確かで強がらなきゃやってらんないさ霧があなたを覆い隠すのならば狙いを定めて曇り空を撃ち抜いて行ったり来たり繰り返して僕ら喜びも悲しみも全部あなたと笑いあえるのならばそれ以上他に何も望まないの今なら僕ら目を瞑っていたって未来へ駆けてゆけるのぼやけた視界を擦ってあなたの心の奥底を狙って弾を撃て弾を撃て
0,貫いて、この心を、思い切り突き刺して。火照ったままで、知らぬふりはもうやめて。暇つぶしには飽きたのよ　纏ったビニールを脱がせたいの。お前の思惑から無邪気に抜け出して。“さよなら、愛を込めて”気の済むまで暴れなよ哀れだろ？　むしゃくしゃするぜ喧騒に上がる煙に飛び込んでいくだけさ「遊びがないの、あなたには」なんて適当に言葉侍らせて喧騒に上がる煙に薪をくべろ今日も軽やかなステップで騙し騙し生きて行こうじゃないか真っ暗な明日を欺いてさ誰に向けたナイフなの？　何に突き動かされてる？苦しいだけの“現実”はもう止めて“さよなら、愛を込めて”息を吸いなよこの街の、有り余るほどの空気を焦れったいビニールの中からストリートへ抜け出たなら遊びきるんだ、この世界喧騒、狂乱に、雨あられ掻っ攫ったもん勝ちでしょ？さよなら　愛を込めて思いの丈を着飾ってどんちゃん騒ぎのナイトクラブからさよなら　愛を込めて思いの丈を着飾って繋いだその手は離さないで意図するなよこの身など博打だろ清々するぜ激動、時代の坩堝へ飛び込んでゆくだけさ“遊びじゃないのよ貴女とは”なんて嘘で固めたこの夜なら冗談もご愛嬌でしょ？暴れ回れよ哀れだろ？むしゃくしゃするぜ喧騒に上がる煙に飛び込んでいくだけさ遊びきるんだ、この世界喧騒、狂乱に、雨あられ最後の最後にはニヤリと笑ってみせる
0,It's Flash！！！全ては冗談だってホンモンかニセモンかなんてくだらねえぜ真実なんてただ下り坂を猛スピードで駆け抜けるんだ振り払えんだ、思いのままにブレーキは折れちまってんだIt's Flash！！！密かに期待しちゃいないかい？思い通りにいきやしないぜ？やるせないねそれでも主役は誰だ？お前だろ輝けるんだ、いつだって思いのままに間違いだらけの人生が光を見失わせる tonight一瞬でいい、今だけでいい逆らって全てを求めないで時の流れを許してこの身を焦がしてでも光放ってIt's Flash！！！全ては冗談だってホンモンかニセモンかなんてくだらねえぜ真実なんてただ下り坂を猛スピードで駆け抜けるんだ振り払えんだ、思いのままに誰もが矛盾を抱えてんだ翻弄され踊り踊らされそれでも何度でも立ち上がれいつだって主役はお前だろ輝けるんだ変わらない思いのままで歯止めは最早効かねえんだ
0,溢れ出した涙のように一時の煌めく命ならば出会いと別れを繰り返す日々の中で一体全体何を信じればいい？生まれ落ちたその時には泣き喚いていた奪われないようにくたばらないように生きるのが精一杯だ胸に刺さったナイフを抜けずにいるの抜いたその瞬間飛沫を上げて涙が噴き出すでしょう？溢れ出した涙のように一時の煌めく命ならば出会いと別れを繰り返す日々の中で一体全体何を信じればいい？屈託のない笑顔の裏隠していた生きるための嘘が最早本当か嘘かわからなくて自分の居場所でさえも見失っているの怒りに飲まれて光に憧れて今日も空を眺めるのでしょうこの人生に意味があるのなら教えてよ脆く、儚い日々の中で痛みや悲しみさえも飲み干した今、僕らは一体全体何を信じればいい？溢れ出した涙のように一時の煌めく命ならば出会いと別れを繰り返す日々の中で一体全体何を信じればいい？
0,永遠の雨の中から飛び立つんだ俺たちには雲の向こうの日差しが見えてる昔なりたかった自分には多分なれやしないだろうけど湿った話は嫌いだよ身も蓋もないよな知るかよどいつもこいつも勝手にしやがれただ命を揺らして　君と二人で吹き抜けた未来も閉ざされた未来も鏡に映る自分自身だ身も蓋もないよなこのまま二人で僕らなりの歩幅でいいと思った群れからはぐれたってそれさえ愛おしく思うんだそうさ、それが全てだろう退屈なこの街角から抜け出すんだ俺たちにはビルの向こうの星空が見えてるブロー日々鳩尾に食らってるけど決して打たれ強かないよな？けど湿った話は嫌いだよ身も蓋もないよな？いつもの二人で僕らだけの言葉で話をするんだ馴染みのない会話ばかりじゃ結局寂しさが募るだろそうさそれならばいっそこのまま二人で僕らなりの言葉でいいと思った群れからはぐれたってそれさえ愛おしく思うんだそうさ、それが全てだろう
0,もう財布の底は見えてしまったけどそれさえも　笑い合った。それさえも　恋だった。きっと永遠には続かないの。明日には明日の風が吹くでしょ。いつもの事さ、全て失うの。その前に、今を鮮明に焼き付けて。それさえも　笑い合った。それさえも　恋だった。空っぽの財布に心は踊るなぜ欲しいものはこんなにも値がはるのでしょういつものことさ、手は届かないのそんな日を、今を鮮明に焼き付けて。
0,ひらりこの夜を踊るんだなんだかんだで上手く行く気がしてきた午前一時素晴らしきこの世界を悪あがき、綱渡りその心、裏腹に胸騒ぎ長い長い夜を超えて風通る隙間埋めあって忘れかけたユーモアが街の景色に色を落とす行き当たりばったり彷徨った夢にまで見た桃源郷は何処暗くなったら火を灯そう孤独を分け合えるよのらりくらりと踊るんだなんだかんだで憂鬱が影を落とした午前二時どうしようもないこの世界を悪あがき、綱渡りその心、裏腹に胸騒ぎ呼吸を拒めなくたってその両足で立って叫んで得体の知れない欲望が小さな体を蝕んだ背伸びしたってアヒルはアヒルか空の蒼さを眺めているんだこんな夜は聞き慣れた歌でも聞きたいなきらりこの世を踊るんだなんだかんだで上手く行く気がしている午前三時素晴らしきこの世界を悪あがき、綱渡りその心、裏腹に胸騒ぎ始まりと終わりはつむじ風いつだって唐突に揺さぶられ耐え忍ぶ時は永遠に感じられまあそれも今じゃ御一興ひらりこの夜を踊るんだなんだかんだで上手く行く気がしてきた午前一時素晴らしきこの世界を悪あがき、綱渡りその心、裏腹に胸騒ぎのらりくらりと踊るんだなんだかんだで憂鬱が影を落とした午前二時どうしようもないこの世界を悪あがき、綱渡りその心、裏腹に胸騒ぎきらりこの世を踊るんだなんだかんだで上手く行く気がしている午前三時素晴らしきこの世界を悪あがき、綱渡りその心、裏腹に胸騒ぎ長い長い夜を超えて風通る隙間埋めあって忘れかけたユーモアが街の景色に色を落とす行き当たりばったり彷徨った夢にまで見た桃源郷は何処暗くなったら火を灯そう孤独を分け合えるよ
0,錆びた指輪の跡“痛み分けですね”痣を隠して生きてくのでしょう。忍ばせた刃に被せた理性“大人ですね貴女は”皮肉交じりで惹かれ合うのでしょう留まってゆきなよ“居場所はここにしかないでしょ？”無粋なあらゆる総てを壊してしまいたい“発作”けれど夢みたいな花に手を伸ばして結局はほら造花だと知ってるそれでも身を委ねたなら真空管のガラスを叩き割って、這い出してゆく。身を投げ出すことさえ、吹き抜ける風と共に去りぬ。重みを取り戻す身体それ取り戻してからさ“居場所はここにしかないでしょ？”いつもの様に無造作な感情だけで傷つけ合う“脳波”けれど夢みたいな花に手を伸ばして結局はほら造花だと知ってるそれでも身を委ねたなら
